"REGIONE";"PROVINCIA";"COMUNE";"SPECIE";"DATA_SOSPETTO";"DATA_CONFERMA";"LONGITUDINE";"LATITUDINE";"ESITO";"DATA_PRELIEVO";"DATA"
"PIEMONTE";"CN";"CUNEO";"CINGHIALE(SELVATICI)";NA;NA;7.587139;44.424167;"N";2022-04-19;2022-04-19 16:30:00
"PIEMONTE";"CN";"LEVICE";"CINGHIALE(SELVATICI)";NA;NA;8.161143;44.517192;"N";2022-01-17;2022-01-17 17:45:00
"PIEMONTE";"CN";"MONDOVI'";"CINGHIALE(SELVATICI)";NA;NA;7.824585;44.439851;"N";2022-02-11;2022-02-11 09:45:00
"PIEMONTE";"AL";"PREDOSA";"CINGHIALE(SELVATICI)";NA;NA;8.668845;44.75816;"N";2022-03-13;2022-03-13 17:00:00
"EMILIA-ROMAGNA";"PC";"CASTELVETRO PIACENTINO";"SUINI(DOMESTICI)";NA;NA;10.01661;45.07547;"N";2022-03-11;2022-03-11 11:00:00
"LOMBARDIA";"PV";"ZERBOLO'";"CINGHIALE(SELVATICI)";NA;NA;9.013859;45.206338;"N";2022-04-15;2022-04-16 00:00:00
"LOMBARDIA";"PV";"TORRAZZA COSTE";"CINGHIALE(SELVATICI)";NA;NA;9.086143;44.976086;"N";2022-02-05;2022-02-06 00:00:00
"PIEMONTE";"AL";"TAGLIOLO MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.717035;44.591826;"N";2022-03-16;2022-03-16 14:15:00
"PIEMONTE";"AL";"BASALUZZO";"CINGHIALE(SELVATICI)";NA;NA;8.692086;44.765237;"N";2022-01-08;2022-01-08 17:00:00
"LIGURIA";"GE";"BUSALLA";"CINGHIALE(SELVATICI)";NA;NA;8.940692;44.564058;"N";2022-04-08;2022-04-08 11:30:00
"LIGURIA";"SV";"QUILIANO";"CINGHIALE(SELVATICI)";NA;NA;8.384142;44.281265;"N";2022-03-01;2022-03-02 00:00:00
"PIEMONTE";"AL";"VOLPEDO";"SUINI(DOMESTICI)";NA;NA;9.008274;44.887529;"N";2022-01-12;2022-01-12 12:00:00
"LOMBARDIA";"PV";"PONTE NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.103327;44.851556;"N";2022-02-05;2022-02-06 00:00:00
"PIEMONTE";"AL";"FUBINE MONFERRATO";"SUINI(DOMESTICI)";NA;NA;8.394414;44.950204;"N";2022-01-03;2022-01-03 09:00:00
"LOMBARDIA";"PV";"ZAVATTARELLO";"CINGHIALE(SELVATICI)";NA;NA;9.244915;44.85596;"N";2022-01-28;2022-01-29 00:00:00
"LOMBARDIA";"PV";"VOGHERA";"CINGHIALE(SELVATICI)";NA;NA;9.012044;44.99166;"N";2022-02-02;2022-02-03 00:00:00
"LOMBARDIA";"PV";"PIEVE ALBIGNOLA";"CINGHIALE(SELVATICI)";NA;NA;8.959915;45.112366;"N";2022-01-26;2022-01-27 00:00:00
"LIGURIA";"GE";"BUSALLA";"CINGHIALE(SELVATICI)";NA;NA;8.91935;44.572373;"N";2022-02-07;2022-02-07 12:00:00
"PIEMONTE";"CN";"MURAZZANO";"CINGHIALE(SELVATICI)";NA;NA;7.977656;44.486858;"N";2022-01-13;2022-01-13 13:00:00
"PIEMONTE";"AL";"CAPRIATA D'ORBA";"CINGHIALE(SELVATICI)";NA;NA;8.665791;44.713429;"N";2022-02-24;2022-02-24 14:45:00
"PIEMONTE";"CN";"BAGNOLO PIEMONTE";"CINGHIALE(SELVATICI)";NA;NA;7.256098;44.753754;"N";2022-02-24;2022-02-24 08:45:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.1495;44.37029;"N";2022-02-24;2022-02-24 13:00:00
"LIGURIA";"GE";"CHIAVARI";"CINGHIALE(SELVATICI)";NA;NA;9.314317;44.329368;"N";2022-04-19;2022-04-19 13:00:00
"PIEMONTE";"AL";"TORTONA";"CINGHIALE(SELVATICI)";NA;NA;8.829086;44.840525;"N";2022-04-16;2022-04-17 00:00:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-21;2022-03-21 10:00:00
"PIEMONTE";"AT";"CASTEL BOGLIONE";"CINGHIALE(SELVATICI)";NA;NA;8.384159;44.741171;"N";2022-01-29;2022-01-29 16:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;9.03444;44.4094;"N";2022-01-25;2022-01-26 00:00:00
"LIGURIA";"SV";"CISANO SUL NEVA";"CINGHIALE(SELVATICI)";NA;NA;8.134197;44.079295;"N";2022-01-26;2022-01-26 08:45:00
"LIGURIA";"GE";"USCIO";"CINGHIALE(SELVATICI)";NA;NA;9.164921;44.412717;"N";2022-04-28;2022-04-28 15:00:00
"LOMBARDIA";"PV";"TORRAZZA COSTE";"CINGHIALE(SELVATICI)";NA;NA;9.086143;44.976086;"N";2022-02-06;2022-02-07 00:00:00
"LIGURIA";"GE";"PIEVE LIGURE";"CINGHIALE(SELVATICI)";NA;NA;9.0925;44.372778;"N";2022-01-21;2022-01-21 16:00:00
"LIGURIA";"SV";"CELLE LIGURE";"CINGHIALE(SELVATICI)";NA;NA;8.549321;44.349885;"N";2022-02-15;2022-02-15 18:30:00
"PIEMONTE";"AL";"CASALE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.44016;45.10496;"N";2022-02-09;2022-02-09 13:00:00
"PIEMONTE";"AL";"ALESSANDRIA";"CINGHIALE(SELVATICI)";NA;NA;8.559065;44.923228;"N";2022-03-05;2022-03-05 18:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.954131;44.402093;"N";2022-03-29;2022-03-30 00:00:00
"PIEMONTE";"AL";"QUATTORDIO";"CINGHIALE(SELVATICI)";NA;NA;8.406;44.875431;"N";2022-04-27;2022-04-28 01:20:00
"PIEMONTE";"AL";"ALLUVIONI PIOVERA";"CINGHIALE(SELVATICI)";NA;NA;8.755706;44.980837;"N";2022-05-01;2022-05-01 22:00:00
"PIEMONTE";"AT";"TIGLIOLE";"CINGHIALE(SELVATICI)";NA;NA;8.08324;44.87676;"N";2022-04-24;2022-04-25 00:00:00
"PIEMONTE";"AL";"POZZOLO FORMIGARO";"CINGHIALE(SELVATICI)";NA;NA;8.766913;44.808416;"N";2022-02-27;2022-02-27 14:30:00
"LIGURIA";"GE";"MIGNANEGO";"CINGHIALE(SELVATICI)";NA;NA;8.939904;44.556587;"N";2022-02-19;2022-02-19 12:30:00
"LOMBARDIA";"PV";"CASTELLETTO DI BRANDUZZO";"CINGHIALE(SELVATICI)";NA;NA;9.088252;45.059665;"N";2022-03-07;2022-03-08 00:00:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-15;2022-03-16 00:00:00
"LOMBARDIA";"PV";"PIEVE DEL CAIRO";"CINGHIALE(SELVATICI)";NA;NA;8.814228;45.062427;"N";2022-03-18;2022-03-19 00:00:00
"LIGURIA";"SV";"VEZZI PORTIO";"CINGHIALE(SELVATICI)";NA;NA;8.364476;44.218062;"N";2022-01-30;2022-01-31 00:00:00
"PIEMONTE";"AL";"TAGLIOLO MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.714965;44.593873;"N";2022-01-22;2022-01-22 10:00:00
"PIEMONTE";"AL";"VALENZA";"CINGHIALE(SELVATICI)";NA;NA;8.626783;45.012954;"N";2022-01-18;2022-01-18 14:00:00
"PIEMONTE";"AT";"MOMBERCELLI";"CINGHIALE(SELVATICI)";NA;NA;8.303348;44.815492;"N";2022-05-01;2022-05-01 23:45:00
"PIEMONTE";"AT";"MOMBERCELLI";"CINGHIALE(SELVATICI)";NA;NA;8.303348;44.815492;"N";2022-05-01;2022-05-01 23:45:00
"PIEMONTE";"AL";"MONTECASTELLO";"CINGHIALE(SELVATICI)";NA;NA;8.686936;44.947113;"N";2022-04-23;2022-04-24 00:00:00
"LOMBARDIA";"PV";"SAN GIORGIO DI LOMELLINA";"CINGHIALE(SELVATICI)";NA;NA;8.785545;45.172964;"N";2022-01-25;2022-01-26 00:00:00
"EMILIA-ROMAGNA";"PC";"VILLANOVA SULL'ARDA";"SUINI(DOMESTICI)";NA;NA;10.00853;45.00593;"N";2022-03-14;2022-03-14 11:00:00
"PIEMONTE";"AT";"ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.248352;44.956455;"N";2022-02-17;2022-02-17 15:00:00
"LOMBARDIA";"PV";"CAVA MANARA";"CINGHIALE(SELVATICI)";NA;NA;9.105515;45.140966;"N";2022-04-15;2022-04-16 00:00:00
"PIEMONTE";"AT";"CASTELNUOVO CALCEA";"CINGHIALE(SELVATICI)";NA;NA;8.289968;44.788204;"N";2022-04-05;2022-04-06 00:00:00
"PIEMONTE";"AL";"LU E CUCCARO MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.500769;44.99794;"N";2022-02-06;2022-02-06 16:00:00
"LIGURIA";"GE";"FONTANIGORDA";"SUINI(DOMESTICI)";NA;NA;9.271831;44.535793;"N";2022-01-26;2022-01-26 10:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.949004;44.41777;"N";2022-02-01;2022-02-01 14:00:00
"LOMBARDIA";"PV";"VOGHERA";"CINGHIALE(SELVATICI)";NA;NA;9.012044;44.99166;"N";2022-03-05;2022-03-06 00:00:00
"LOMBARDIA";"PV";"BAGNARIA";"CINGHIALE(SELVATICI)";NA;NA;9.1287;44.8184;"N";2022-01-21;2022-01-22 00:00:00
"LIGURIA";"SV";"COSSERIA";"CINGHIALE(SELVATICI)";NA;NA;8.236566;44.372345;"N";2022-02-07;2022-02-08 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.960506;44.406987;"N";2022-02-28;2022-03-01 00:00:00
"PIEMONTE";"AL";"CASSINE";"CINGHIALE(SELVATICI)";NA;NA;8.529933;44.766007;"N";2022-02-26;2022-02-26 18:00:00
"LIGURIA";"SV";"SAVONA";"CINGHIALE(SELVATICI)";NA;NA;8.446862;44.317507;"N";2022-02-15;2022-02-16 00:00:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.155541;44.361968;"N";2022-03-20;2022-03-21 00:00:00
"PIEMONTE";"CN";"MONTELUPO ALBESE";"CINGHIALE(SELVATICI)";NA;NA;8.016659;44.623785;"N";2022-03-10;2022-03-10 15:00:00
"LIGURIA";"SV";"ANDORA";"CINGHIALE(SELVATICI)";NA;NA;8.136151;43.952486;"N";2022-04-03;2022-04-04 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.92298;44.41709;"N";2022-02-02;2022-02-03 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.950768;44.408193;"N";2022-03-29;2022-03-30 00:00:00
"PIEMONTE";"AL";"CASSINE";"CINGHIALE(SELVATICI)";NA;NA;8.521865;44.743867;"N";2022-03-17;2022-03-17 13:00:00
"LOMBARDIA";"PV";"BRONI";"CINGHIALE(SELVATICI)";NA;NA;9.256917;45.064264;"N";2022-03-17;2022-03-18 00:00:00
"LOMBARDIA";"PV";"CASTELLETTO DI BRANDUZZO";"CINGHIALE(SELVATICI)";NA;NA;9.088252;45.059665;"N";2022-03-07;2022-03-08 00:00:00
"PIEMONTE";"CN";"CHERASCO";"CINGHIALE(SELVATICI)";NA;NA;7.864372;44.642965;"N";2022-01-02;2022-01-03 00:00:00
"PIEMONTE";"CN";"GARESSIO";"CINGHIALE(SELVATICI)";NA;NA;7.981441;44.184743;"N";2022-04-26;2022-04-26 11:19:00
"LOMBARDIA";"PV";"BEREGUARDO";"CINGHIALE(SELVATICI)";NA;NA;9.027924;45.258162;"N";2022-03-01;2022-03-02 00:00:00
"PIEMONTE";"AT";"MONTEGROSSO D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.240487;44.833166;"N";2022-04-05;2022-04-05 09:30:00
"PIEMONTE";"CN";"NARZOLE";"CINGHIALE(SELVATICI)";NA;NA;7.886946;44.591663;"N";2022-03-28;2022-03-28 10:00:00
"PIEMONTE";"AL";"CASALE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.450503;45.131609;"N";2022-02-02;2022-02-02 15:45:00
"PIEMONTE";"AT";"ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.180731;44.872662;"N";2022-03-13;2022-03-13 20:00:00
"PIEMONTE";"AL";"QUATTORDIO";"CINGHIALE(SELVATICI)";NA;NA;8.384787;44.922353;"N";2022-01-08;2022-01-08 10:00:00
"PIEMONTE";"AL";"CARPENETO";"CINGHIALE(SELVATICI)";NA;NA;8.607246;44.675404;"N";2022-01-09;2022-01-09 18:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.89759;44.44185;"N";2022-02-26;2022-02-27 00:00:00
"PIEMONTE";"CN";"MURAZZANO";"CINGHIALE(SELVATICI)";NA;NA;7.992118;44.484011;"N";2022-03-02;2022-03-02 14:30:00
"LOMBARDIA";"PV";"COLLI VERDI";"CINGHIALE(SELVATICI)";NA;NA;9.229494;44.863654;"N";2022-01-28;2022-01-29 00:00:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-10;2022-03-10 11:45:00
"LOMBARDIA";"PV";"VAL DI NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.191708;44.882244;"N";2022-01-19;2022-01-20 00:00:00
"PIEMONTE";"AL";"OVADA";"CINGHIALE(SELVATICI)";NA;NA;8.63281;44.640249;"N";2022-04-24;2022-04-24 17:00:00
"PIEMONTE";"AT";"MONGARDINO";"CINGHIALE(SELVATICI)";NA;NA;8.214724;44.840104;"N";2022-04-15;2022-04-15 23:40:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-01-31;2022-01-31 15:00:00
"PIEMONTE";"AT";"INCISA SCAPACCINO";"CINGHIALE(SELVATICI)";NA;NA;8.376861;44.810049;"N";2022-01-28;2022-01-28 11:00:00
"LOMBARDIA";"PV";"ARENA PO";"CINGHIALE(SELVATICI)";NA;NA;9.43202;45.090872;"N";2022-02-22;2022-02-23 00:00:00
"PIEMONTE";"AL";"OVADA";"CINGHIALE(SELVATICI)";NA;NA;8.632466;44.640249;"N";2022-04-27;2022-04-27 09:00:00
"PIEMONTE";"AL";"TORTONA";"CINGHIALE(SELVATICI)";NA;NA;8.862893;44.888296;"N";2022-03-23;2022-03-23 11:00:00
"PIEMONTE";"AT";"MOMBERCELLI";"CINGHIALE(SELVATICI)";NA;NA;8.293646;44.81396;"N";2022-04-06;2022-04-06 19:00:00
"LOMBARDIA";"PV";"VAL DI NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.191708;44.882244;"N";2022-01-12;2022-01-13 00:00:00
"PIEMONTE";"AL";"SALA MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.360427;45.065111;"N";2022-04-20;2022-04-20 13:30:00
"PIEMONTE";"AL";"BORGORATTO ALESSANDRINO";"SUINI(DOMESTICI)";NA;NA;8.504962;44.816611;"N";2022-04-23;2022-04-23 12:30:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-21;2022-03-21 10:00:00
"LIGURIA";"GE";"SANTA MARGHERITA LIGURE";"CINGHIALE(SELVATICI)";NA;NA;9.213659;44.334574;"N";2022-05-03;2022-05-03 20:15:00
"PIEMONTE";"CN";"PAESANA";"CINGHIALE(SELVATICI)";NA;NA;7.23371;44.68731;"N";2022-02-28;2022-02-28 12:00:00
"PIEMONTE";"AL";"MERANA";"CINGHIALE(SELVATICI)";NA;NA;8.313847;44.50301;"N";2022-02-08;2022-02-08 15:40:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.97044;44.415435;"N";2022-03-04;2022-03-04 16:00:00
"EMILIA-ROMAGNA";"PC";"PONTENURE";"SUINI(DOMESTICI)";NA;NA;9.76311;44.99748;"N";2022-02-15;2022-02-15 11:00:00
"LIGURIA";"SV";"CAIRO MONTENOTTE";"SUINI(DOMESTICI)";NA;NA;8.281127;44.407765;"N";2022-02-16;2022-02-16 14:00:00
"PIEMONTE";"AL";"MORBELLO";"CINGHIALE(SELVATICI)";NA;NA;8.51718;44.598308;"N";2022-01-23;2022-01-23 10:00:00
"PIEMONTE";"AT";"AGLIANO TERME";"CINGHIALE(SELVATICI)";NA;NA;8.22667;44.773182;"N";2022-05-02;2022-05-02 23:30:00
"PIEMONTE";"AL";"ROSIGNANO MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.391289;45.080069;"N";2022-04-29;2022-04-29 15:30:00
"LOMBARDIA";"PV";"CASTELLETTO DI BRANDUZZO";"CINGHIALE(SELVATICI)";NA;NA;9.088252;45.059665;"N";2022-03-11;2022-03-12 00:00:00
"EMILIA-ROMAGNA";"PC";"ALSENO";"CINGHIALE(SELVATICI)";NA;NA;9.903371;44.920895;"N";2022-02-02;2022-02-02 10:00:00
"EMILIA-ROMAGNA";"PC";"PONTENURE";"SUINI(DOMESTICI)";NA;NA;9.76311;44.99748;"N";2022-02-15;2022-02-15 11:00:00
"PIEMONTE";"AL";"VIGNOLE BORBERA";"CINGHIALE(SELVATICI)";NA;NA;8.888072;44.703909;"N";2022-02-15;2022-02-15 15:00:00
"PIEMONTE";"AL";"PECETTO DI VALENZA";"CINGHIALE(SELVATICI)";NA;NA;8.698336;44.996574;"N";2022-03-09;2022-03-09 08:30:00
"LOMBARDIA";"PV";"SANTA CRISTINA E BISSONE";"CINGHIALE(SELVATICI)";NA;NA;9.3999;45.166258;"N";2022-02-28;2022-03-01 00:00:00
"LIGURIA";"GE";"BUSALLA";"CINGHIALE(SELVATICI)";NA;NA;8.9725;44.58915;"N";2022-03-25;2022-03-25 11:20:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.951;44.431613;"N";2022-03-14;2022-03-15 00:00:00
"PIEMONTE";"AL";"TORTONA";"CINGHIALE(SELVATICI)";NA;NA;8.802908;44.902994;"N";2022-02-03;2022-02-03 12:59:00
"PIEMONTE";"AT";"COSTIGLIOLE D'ASTI";"SUINI(DOMESTICI)";NA;NA;8.160367;44.795159;"N";2022-03-14;2022-03-14 14:00:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-09;2022-03-10 00:00:00
"PIEMONTE";"AL";"CANTALUPO LIGURE";"CINGHIALE(SELVATICI)";NA;NA;9.047705;44.714403;"N";2022-04-23;2022-04-24 00:00:00
"PIEMONTE";"AL";"BELFORTE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.669384;44.614502;"N";2022-04-12;2022-04-12 15:50:00
"LIGURIA";"SV";"ALBISSOLA MARINA";"CINGHIALE(SELVATICI)";NA;NA;8.50576;44.32752;"N";2022-01-29;2022-01-30 00:00:00
"PIEMONTE";"AT";"INCISA SCAPACCINO";"CINGHIALE(SELVATICI)";NA;NA;8.379625;44.812132;"N";2022-01-28;2022-01-28 10:30:00
"PIEMONTE";"CN";"CUNEO";"CINGHIALE(SELVATICI)";NA;NA;7.542671;44.384477;"N";2022-02-20;2022-02-20 21:30:00
"PIEMONTE";"AL";"MASIO";"CINGHIALE(SELVATICI)";NA;NA;8.399215;44.849023;"N";2022-03-21;2022-03-21 16:00:00
"PIEMONTE";"AL";"SAN SALVATORE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.535631;45.015239;"N";2022-04-20;2022-04-20 09:00:00
"LIGURIA";"SV";"VARAZZE";"CINGHIALE(SELVATICI)";NA;NA;8.534396;44.396077;"N";2022-04-19;2022-04-19 19:45:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.95374;44.41362;"N";2022-04-16;2022-04-16 16:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.979645;44.455168;"N";2022-04-20;2022-04-20 14:20:00
"PIEMONTE";"CN";"CHERASCO";"CINGHIALE(SELVATICI)";NA;NA;7.869779;44.635545;"N";2022-04-16;2022-04-17 00:05:00
"PIEMONTE";"AT";"VILLANOVA D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;7.948158;44.982189;"N";2022-01-24;2022-01-24 11:00:00
"PIEMONTE";"AL";"VIGNOLE BORBERA";"CINGHIALE(SELVATICI)";NA;NA;8.893051;44.6996;"N";2022-03-18;2022-03-19 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.90223;44.47154;"N";2022-02-09;2022-02-09 10:00:00
"PIEMONTE";"AL";"MASIO";"CINGHIALE(SELVATICI)";NA;NA;8.400434;44.871551;"N";2022-04-21;2022-04-22 00:00:00
"PIEMONTE";"AT";"VAGLIO SERRA";"CINGHIALE(SELVATICI)";NA;NA;8.332568;44.808516;"N";2022-03-11;2022-03-11 11:00:00
"PIEMONTE";"AT";"AZZANO D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.275953;44.885112;"N";2022-02-03;2022-02-03 12:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.946944;44.406111;"N";2022-02-28;2022-03-01 00:00:00
"LIGURIA";"GE";"BOGLIASCO";"CINGHIALE(SELVATICI)";NA;NA;9.07848;44.37895;"N";2022-02-01;2022-02-01 12:30:00
"PIEMONTE";"AL";"ROCCA GRIMALDA";"CINGHIALE(SELVATICI)";NA;NA;8.663371;44.701217;"N";2022-01-19;2022-01-19 11:45:00
"PIEMONTE";"CN";"LEVICE";"CINGHIALE(SELVATICI)";NA;NA;8.160373;44.51667;"N";2022-01-17;2022-01-17 18:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;9.01977;44.450585;"N";2022-04-28;2022-04-28 15:00:00
"LOMBARDIA";"PV";"CASTELLETTO DI BRANDUZZO";"CINGHIALE(SELVATICI)";NA;NA;9.088252;45.059665;"N";2022-03-07;2022-03-08 00:00:00
"LIGURIA";"GE";"SERRA RICCO'";"CINGHIALE(SELVATICI)";NA;NA;8.918523;44.5023;"N";2022-05-04;2022-05-05 00:00:00
"PIEMONTE";"AT";"SAN DAMIANO D'ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.056443;44.8243;"N";2022-01-17;2022-01-17 11:40:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.937727;44.411359;"N";2022-04-28;2022-04-28 15:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.898219;44.442217;"N";2022-04-20;2022-04-20 14:30:00
"PIEMONTE";"CN";"MOROZZO";"SUINI(DOMESTICI)";NA;NA;7.655414;44.423568;"N";2022-04-26;2022-04-26 10:00:00
"PIEMONTE";"CN";"LISIO";"CINGHIALE(SELVATICI)";NA;NA;7.980147;44.311593;"N";2022-03-21;2022-03-21 11:00:00
"LIGURIA";"GE";"BUSALLA";"CINGHIALE(SELVATICI)";NA;NA;8.979217;44.582396;"N";2022-03-28;2022-03-28 10:00:00
"PIEMONTE";"AL";"VOLTAGGIO";"CINGHIALE(SELVATICI)";NA;NA;8.813924;44.621141;"N";2022-01-11;2022-01-11 10:00:00
"PIEMONTE";"AL";"GRONDONA";"CINGHIALE(SELVATICI)";NA;NA;8.989804;44.701258;"N";2022-03-04;2022-03-04 15:00:00
"PIEMONTE";"AL";"MASIO";"SUINI(DOMESTICI)";NA;NA;8.451836;44.864002;"N";2022-03-21;2022-03-21 10:00:00
"PIEMONTE";"AT";"PIOVA' MASSAIA";"CINGHIALE(SELVATICI)";NA;NA;8.034495;45.028926;"N";2022-03-07;2022-03-07 15:00:00
"PIEMONTE";"AT";"ASTI";"CINGHIALE(SELVATICI)";NA;NA;8.155526;44.900209;"N";2022-03-14;2022-03-14 12:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.9475;44.42476;"N";2022-02-03;2022-02-04 00:00:00
"PIEMONTE";"AL";"PONZONE";"CINGHIALE(SELVATICI)";NA;NA;8.458895;44.565336;"N";2022-04-23;2022-04-24 00:00:00
"PIEMONTE";"AT";"MOMBERCELLI";"CINGHIALE(SELVATICI)";NA;NA;8.287481;44.802958;"N";2022-04-21;2022-04-21 23:00:00
"PIEMONTE";"CN";"PEZZOLO VALLE UZZONE";"CINGHIALE(SELVATICI)";NA;NA;8.196479;44.545643;"N";2022-01-21;2022-01-21 16:00:00
"LOMBARDIA";"PV";"PONTE NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.145889;44.855611;"N";2022-01-21;2022-01-22 00:00:00
"PIEMONTE";"AL";"ALESSANDRIA";"CINGHIALE(SELVATICI)";NA;NA;8.635369;44.942763;"N";2022-01-26;2022-01-26 12:00:00
"PIEMONTE";"AT";"AGLIANO TERME";"CINGHIALE(SELVATICI)";NA;NA;8.231444;44.767593;"N";2022-04-25;2022-04-25 23:30:00
"PIEMONTE";"AT";"NIZZA MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.315696;44.769995;"N";2022-02-09;2022-02-09 22:00:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.156526;44.3808;"N";2022-03-25;2022-03-25 13:00:00
"LIGURIA";"SV";"MALLARE";"CINGHIALE(SELVATICI)";NA;NA;8.294285;44.291544;"N";2022-03-14;2022-03-15 00:00:00
"PIEMONTE";"AL";"VALENZA";"CINGHIALE(SELVATICI)";NA;NA;8.65073;44.99584;"N";2022-04-20;2022-04-20 10:00:00
"PIEMONTE";"AL";"BORGORATTO ALESSANDRINO";"SUINI(DOMESTICI)";NA;NA;8.504962;44.816611;"N";2022-04-05;2022-04-05 15:00:00
"PIEMONTE";"AT";"INCISA SCAPACCINO";"CINGHIALE(SELVATICI)";NA;NA;8.378329;44.809355;"N";2022-01-28;2022-01-28 10:45:00
"PIEMONTE";"AL";"ALESSANDRIA";"CINGHIALE(SELVATICI)";NA;NA;8.537179;44.916634;"N";2022-04-23;2022-04-24 00:00:00
"PIEMONTE";"AL";"MASIO";"CINGHIALE(SELVATICI)";NA;NA;8.402708;44.87146;"N";2022-04-21;2022-04-22 00:00:00
"LOMBARDIA";"PV";"VOGHERA";"CINGHIALE(SELVATICI)";NA;NA;9.012044;44.99166;"N";2022-01-12;2022-01-13 00:00:00
"PIEMONTE";"AT";"CORTIGLIONE";"CINGHIALE(SELVATICI)";NA;NA;8.356255;44.832621;"N";2022-02-23;2022-02-23 12:20:00
"LIGURIA";"GE";"SERRA RICCO'";"CINGHIALE(SELVATICI)";NA;NA;8.94161;44.508213;"N";2022-01-07;2022-01-07 11:00:00
"PIEMONTE";"CN";"GARESSIO";"CINGHIALE(SELVATICI)";NA;NA;7.984831;44.189251;"N";2022-03-12;2022-03-12 11:00:00
"LOMBARDIA";"PV";"PONTE NIZZA";"CINGHIALE(SELVATICI)";NA;NA;9.097394;44.851255;"N";2022-04-27;2022-04-28 00:00:00
"LOMBARDIA";"PV";"VARZI";"CINGHIALE(SELVATICI)";NA;NA;9.174894;44.778423;"N";2022-03-16;2022-03-17 00:00:00
"LOMBARDIA";"PV";"BADIA PAVESE";"CINGHIALE(SELVATICI)";NA;NA;9.468869;45.121747;"N";2022-04-03;2022-04-04 00:00:00
"PIEMONTE";"AL";"OTTIGLIO";"CINGHIALE(SELVATICI)";NA;NA;8.335587;45.050657;"N";2022-03-04;2022-03-04 08:00:00
